"序號","分類","字母","級別","單字或片語","詞性","中文釋義","中文釋義原文","考題出現次數","來源"
"128","國中會考英文常用2000字詞","B","基本1200","banana","名詞","香蕉","[名詞] 香蕉","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"129","國中會考英文常用2000字詞","B","基本1200","band","名詞","樂團;樂隊","[名詞] 樂團;樂隊","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"130","國中會考英文常用2000字詞","B","基本1200","bank","動詞 / 名詞","存(款)於銀行;築堤防護;堆積; 銀行;堤;岸","[動詞] 存(款)於銀行;築堤防護;堆積; [名詞] 銀行;堤;岸","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"131","國中會考英文常用2000字詞","B","常用800","barbecue","動詞 / 名詞","(在戶外)烤,炙(肉類); 烤肉","[動詞] (在戶外)烤,炙(肉類); [名詞] 烤肉","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"132","國中會考英文常用2000字詞","B","常用800","barber","名詞","男理髮師","[名詞] 男理髮師","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"133","國中會考英文常用2000字詞","B","常用800","bark","動詞 / 名詞","狗叫;咆哮; 狗吠聲;樹皮","[動詞] 狗叫;咆哮; [名詞] 狗吠聲;樹皮","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"134","國中會考英文常用2000字詞","B","常用800","base","動詞 / 名詞","以...為基地; 基;底;基部","[動詞] 以...為基地; [名詞] 基;底;基部","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"135","國中會考英文常用2000字詞","B","基本1200","baseball","名詞","棒球","[名詞] 棒球","14","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"136","國中會考英文常用2000字詞","B","常用800","basement","名詞","地下室","[名詞] 地下室","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"137","國中會考英文常用2000字詞","B","常用800","basic","形容詞","基本的","[形容詞] 基本的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"138","國中會考英文常用2000字詞","B","基本1200","basket","名詞","籃子","[名詞] 籃子","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"139","國中會考英文常用2000字詞","B","基本1200","basketball","名詞","籃球","[名詞] 籃球","19","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"140","國中會考英文常用2000字詞","B","基本1200","bat","動詞 / 名詞","用球棒擊（球）;眨(眼); 球棒;蝙蝠","[動詞] 用球棒擊（球）;眨(眼); [名詞] 球棒;蝙蝠","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"141","國中會考英文常用2000字詞","B","基本1200","bath","名詞","洗澡","[名詞] 洗澡","14","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"142","國中會考英文常用2000字詞","B","常用800","bathe","動詞","洗澡","[動詞] 洗澡","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"143","國中會考英文常用2000字詞","B","基本1200","bathroom","名詞","廁所;浴室","[名詞] 廁所;浴室","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"144","國中會考英文常用2000字詞","B","基本1200","be","動詞 / 助動詞","是;要;有;在; 正在...,被…","[動詞] 是;要;有;在; [助動詞] 正在...,被…","256","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"145","國中會考英文常用2000字詞","B","基本1200","beach","動詞 / 名詞","將(船等)拖上岸; 海灘","[動詞] 將(船等)拖上岸; [名詞] 海灘","24","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"146","國中會考英文常用2000字詞","B","基本1200","bean","名詞","豆莢;豆子","[名詞] 豆莢;豆子","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"147","國中會考英文常用2000字詞","B","基本1200","bear","動詞 / 名詞","承受; 熊","[動詞] 承受; [名詞] 熊","6","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"148","國中會考英文常用2000字詞","B","常用800","beard","名詞","鬍子","[名詞] 鬍子","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"149","國中會考英文常用2000字詞","B","常用800","beat","動詞 / 名詞","擊敗;敲擊; 敲打;敲擊聲;心跳聲;滴答聲;拍子","[動詞] 擊敗;敲擊; [名詞] 敲打;敲擊聲;心跳聲;滴答聲;拍子","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"150","國中會考英文常用2000字詞","B","基本1200","beautiful","形容詞","漂亮的","[形容詞] 漂亮的","55","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"151","國中會考英文常用2000字詞","B","常用800","beauty","名詞","美貌;美人","[名詞] 美貌;美人","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"152","國中會考英文常用2000字詞","B","基本1200","because","連接詞","因為","[連接詞] 因為","126","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"153","國中會考英文常用2000字詞","B","基本1200","become","動詞","變成","[動詞] 變成","71","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"154","國中會考英文常用2000字詞","B","基本1200","bed","名詞","床","[名詞] 床","24","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"155","國中會考英文常用2000字詞","B","基本1200","bedroom","名詞","臥房","[名詞] 臥房","6","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"156","國中會考英文常用2000字詞","B","基本1200","bee","名詞","蜜蜂","[名詞] 蜜蜂","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"157","國中會考英文常用2000字詞","B","基本1200","beef","名詞","牛肉","[名詞] 牛肉","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"158","國中會考英文常用2000字詞","B","常用800","beer","名詞","啤酒","[名詞] 啤酒","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"159","國中會考英文常用2000字詞","B","基本1200","before","副詞 / 介系詞 / 連接詞","較早;以前;曾經;在前;向前; 在…之前; 在...以前;與其...寧可;否則,要不然","[副詞] 較早;以前;曾經;在前;向前; [介系詞] 在…之前; [連接詞] 在...以前;與其...寧可;否則,要不然","104","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"160","國中會考英文常用2000字詞","B","基本1200","begin","動詞","開始","[動詞] 開始","24","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"161","國中會考英文常用2000字詞","B","常用800","beginner","名詞","新手","[名詞] 新手","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"162","國中會考英文常用2000字詞","B","常用800","beginning","名詞","開始","[名詞] 開始","24","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"163","國中會考英文常用2000字詞","B","常用800","behave","動詞","舉動;守規矩","[動詞] 舉動;守規矩","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"164","國中會考英文常用2000字詞","B","基本1200","behind","副詞 / 介系詞","在背後;向背後;遲;落後; 在…後面","[副詞] 在背後;向背後;遲;落後; [介系詞] 在…後面","15","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"165","國中會考英文常用2000字詞","B","基本1200","believe","動詞","相信","[動詞] 相信","40","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"166","國中會考英文常用2000字詞","B","基本1200","bell","名詞","鈴;鐘","[名詞] 鈴;鐘","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"167","國中會考英文常用2000字詞","B","基本1200","belong","動詞","屬於","[動詞] 屬於","6","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"168","國中會考英文常用2000字詞","B","基本1200","below","副詞 / 介系詞","在下面;到下面; 在…之下","[副詞] 在下面;到下面; [介系詞] 在…之下","24","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"169","國中會考英文常用2000字詞","B","基本1200","belt","動詞 / 名詞","用皮帶抽打;環繞;猛擊; 腰帶","[動詞] 用皮帶抽打;環繞;猛擊; [名詞] 腰帶","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"170","國中會考英文常用2000字詞","B","基本1200","bench","名詞","長凳;長椅","[名詞] 長凳;長椅","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"171","國中會考英文常用2000字詞","B","基本1200","beside","介系詞","在...旁側","[介系詞] 在...旁側","3","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"172","國中會考英文常用2000字詞","B","常用800","besides","副詞 / 介系詞","並且; 除...之外","[副詞] 並且; [介系詞] 除...之外","7","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"173","國中會考英文常用2000字詞","B","基本1200","between","副詞 / 介系詞","在中間;介乎兩者之間; 在…和…之間","[副詞] 在中間;介乎兩者之間; [介系詞] 在…和…之間","26","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"174","國中會考英文常用2000字詞","B","常用800","beyond","副詞 / 介系詞","在更遠處; 越出;在...那一邊","[副詞] 在更遠處; [介系詞] 越出;在...那一邊","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"175","國中會考英文常用2000字詞","B","基本1200","bicycle","名詞","腳踏車","[名詞] 腳踏車","13","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"176","國中會考英文常用2000字詞","B","基本1200","big","形容詞","大的","[形容詞] 大的","55","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"177","國中會考英文常用2000字詞","B","基本1200","bike","動詞 / 名詞","騎腳踏車; 腳踏車","[動詞] 騎腳踏車; [名詞] 腳踏車","13","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"178","國中會考英文常用2000字詞","B","常用800","bill","動詞 / 名詞","記入帳; 帳單; 鈔票","[動詞] 記入帳; [名詞] 帳單; 鈔票","12","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"179","國中會考英文常用2000字詞","B","常用800","biology","名詞","生物學","[名詞] 生物學","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"180","國中會考英文常用2000字詞","B","基本1200","bird","名詞","鳥","[名詞] 鳥","22","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"181","國中會考英文常用2000字詞","B","基本1200","birthday","名詞","生日","[名詞] 生日","40","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"182","國中會考英文常用2000字詞","B","基本1200","bite","動詞 / 名詞","咬; 咬,叮","[動詞] 咬; [名詞] 咬,叮","9","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"183","國中會考英文常用2000字詞","B","常用800","bitter","形容詞","苦的;嚴酷的","[形容詞] 苦的;嚴酷的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"184","國中會考英文常用2000字詞","B","基本1200","black","形容詞 / 名詞","黑色的; 黑色;美國黑人","[形容詞] 黑色的; [名詞] 黑色;美國黑人","12","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"185","國中會考英文常用2000字詞","B","基本1200","blackboard","名詞","黑板","[名詞] 黑板","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"186","國中會考英文常用2000字詞","B","常用800","blame","動詞 / 名詞","歸咎於; 責備,指責;責任","[動詞] 歸咎於; [名詞] 責備,指責;責任","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"187","國中會考英文常用2000字詞","B","基本1200","blank","形容詞 / 名詞","空白的;空的,無內容的;茫然的; 空白","[形容詞] 空白的;空的,無內容的;茫然的; [名詞] 空白","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"188","國中會考英文常用2000字詞","B","基本1200","blanket","動詞 / 名詞","(似)用毯覆蓋;掩蓋; 毯子","[動詞] (似)用毯覆蓋;掩蓋; [名詞] 毯子","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"189","國中會考英文常用2000字詞","B","常用800","bless","動詞","祝福;保佑","[動詞] 祝福;保佑","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"190","國中會考英文常用2000字詞","B","基本1200","blind","形容詞 / 動詞","瞎的; 使看不見,使失明;使失去理智","[形容詞] 瞎的; [動詞] 使看不見,使失明;使失去理智","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"191","國中會考英文常用2000字詞","B","基本1200","block","動詞 / 名詞","阻塞; 街區","[動詞] 阻塞; [名詞] 街區","11","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
"192","國中會考英文常用2000字詞","B","常用800","blood","名詞","血","[名詞] 血","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=B&MainCategoryID=2"
